order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,blank_1,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,blank_2,control_mean,control_sd,control_N,blank_3,cohens_d,blank_4,reverse,input_glass_delta,input_glass_delta_sd,include,blank_5,pku_age_mean,pku_age_sd,blank_6,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3
37,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,WCST,NA,NA,N categories - correct,NA,NA,NA,3.9,1.2,37,720,NA,NA,4.4,0.9,30,NA,0.471404521,NA,-1,-0.549120549,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
38,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,WCST,NA,NA,N perseverative responses,NA,NA,NA,8.1,5.1,37,720,NA,NA,6.8,4.4,30,NA,-0.272944257,NA,1,-0.292032292,NA,1,NA,NA,NA,NA,NA,NA,3,Since birth,cont treat,Soon after birth
34,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,WCST,NA,NA,z-score,NA,DKefs Card Sorting,NA,-0.26,1,152,908,NA,NA,0,1,76,NA,--,NA,-1,-0.259136213,1,1,NA,NA,NA,NA,NA,NA,NA,NA,-,NA
40,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,WCST,NA,NA,N categories - correct,NA,NA,NA,4,1.1,19,1042,NA,NA,4.1,1,19,NA,9.51E-02,NA,-1,-9.79E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
41,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,WCST,NA,NA,N perseverative responses,NA,NA,NA,7,3.1,19,1042,NA,NA,7.8,3.3,19,NA,0.249878019,NA,1,0.237338419,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
39,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Ris et al 1994,2017,WCST,NA,NA,N perseverative responses,NA,NA,NA,21,32,25,1332,NA,NA,12,9,15,NA,-0.382892067,NA,1,-0.98013245,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
42,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-High Phe,1996,WCST,NA,NA,N categories - correct,NA,NA,NA,4.4,1.71,11,1545,NA,NA,5.59,1.33,22,NA,0.776849127,NA,-1,-0.872913992,NA,1,NA,NA,NA,NA,NA,NA,1,--,--,--
43,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-High Phe,1996,WCST,NA,NA,N perseverative responses,NA,NA,NA,23,10.1,11,1545,NA,NA,9.68,8.23,22,NA,-1.445850581,NA,1,-1.578994162,NA,1,NA,NA,NA,NA,NA,NA,1,--,--,--
176,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Christ et al 2023,2023,Flanker,NA,NA,T-score,"Scores for the NIH Toolbox Flanker were created using a procedure analogous to the one used for scoring the NIH Toolbox DCCS. That is, a two-vector method incorporated accuracy and, for participants who maintained a high level of accuracy (> 80% correct)",NIH Toolbox Cognitive Battery,NA,40,7.7,40,589,444,NA,43,9.6,32,NA,NA,NA,-1,-0.309139785,NA,1,NA,11.18,3.4,NA,10.3,3.1,NA,NA,NA,NA
191,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Stroop DIFFERENCE-accuracy,NA,NA,Stroop Task; Differene incongruous-congruous - % Errors,NA,NA,NA,0.5,1.1,37,720,NA,NA,0.8,1,30,NA,0.285390896,NA,1,0.296525097,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
102,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Channon et al 2004,2004,Brixton scaled-Score,NA,NA,Brixton text scaled score (rule finding) higher scores indicate fewer Errors,Participants are presented with patterns of circles where one is filled.  The filled circle move around from one pattern presentation to the next according to rules (9 in total).  Partipants have to anticipate the position of the next filled circle.,NA,NA,6.95,1.67,20,858.5,NA,NA,7.15,1.14,20,NA,0.139882373,NA,-1,-0.171953061,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
109,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Channon et al 2004,2004,Six elements-Rules per minute,NA,NA,Six elements rules per minute,NA,NA,NA,0.54,0.11,20,858.5,NA,NA,0.57,7.00E-02,20,NA,0.325395687,NA,-1,-0.420056764,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
111,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Tower Puzzle,NA,NA,% of NOT solved trials,NA,NA,NA,20.6,28.2,37,720,NA,NA,2.9,7.9,30,NA,-0.854738405,NA,1,-2.214554518,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
112,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Pilotto et al 2021,2021,Tower Puzzle,NA,NA,Performance score,NA,NA,NA,16,3.2,19,890,NA,NA,18,1.57,25,NA,0.793522724,NA,-1,-1.251001182,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Weglage et al 2013,2013,D2 Test,NA,NA,D2 Test - N correct - mistakes,NA,NA,NA,99.1,14.9,57,810.3,NA,NA,103.6,13.6,46,NA,0.315461463,NA,-1,-0.328419209,NA,1,NA,NA,NA,NA,NA,NA,3,Within 10 weeks,-,Within 10 weeks
140,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Pilotto et al 2021,2021,D2 Test,NA,NA,??,NA,NA,NA,144,65.68,19,890,NA,NA,258,27.51,25,NA,2.26405773,NA,-1,-4.069505482,NA,1,NA,NA,NA,NA,NA,NA,2,NA,cont treat,NA
157,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Jahja et al 2016/2017,2017,Dot pattern Task,NA,NA,N Errors,NA,NA,NA,24.6,14.7,57,655,NA,NA,17.3,10.3,57,NA,-0.57515986,NA,1,-0.703981234,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
165,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Romani et al 2020,2020,Rapid Visual Processing-% err,NA,NA,Rapid visual Information Processing -RVP -  % Errors,NA,NA,NA,24.2,12,19,1042,NA,NA,15.9,9.6,19,NA,-0.763818055,NA,1,-0.846445221,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
329,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Conflicting Prosody,NA,NA,Conflicting Prosody - N Errors,NA,NA,NA,1.1,1.2,22,751.2,NA,NA,1.4,1.9,25,NA,0.188795033,NA,1,0.155248456,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
330,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Conflicting Prosody,NA,NA,Emotional Prosody - N Errors,NA,NA,NA,0.6,1.1,22,751.2,NA,NA,0.3,0.5,25,NA,-0.351123442,NA,1,-0.589944134,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
335,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Non Emotional Prosody-N err,NA,NA,Non Emotional Prosody - N Errors,NA,NA,NA,0.2,0.5,22,751.2,NA,NA,0.4,0.8,25,NA,0.299812676,NA,1,0.245810056,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
336,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Verbal Narrative-% cor info units,NA,NA,Verbal Narrative - Correct information units (% of total words),NA,NA,NA,87.7,7.8,33,751.2,NA,NA,91.7,4.6,32,NA,0.624695048,NA,-1,-0.859172008,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
337,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Verbal Narrative-Main concepts-% cor,NA,NA,Verbal Narrative - Main concepts - %  correct answers,NA,NA,NA,81.1,21.2,33,751.2,NA,NA,86.7,10.9,32,NA,0.332225759,NA,-1,-0.507620893,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
338,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Verbal Narrative-Mean utterance length,NA,NA,Verbal Narrative - Mean utterance length,NA,NA,NA,13.2,2.5,33,751.2,NA,NA,14.2,3,32,NA,0.362142984,NA,-1,-0.32934927,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
339,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,Verbal Narrative-Speech rate,NA,NA,Verbal Narrative - Speech Rate,NA,NA,NA,2.2,0.4,33,751.2,NA,NA,2.4,0.4,32,NA,0.5,NA,-1,-0.494023904,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
340,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2017,WASI Similarities-N cor,NA,NA,WASI Similarities - N correct,NA,NA,NA,36,5.8,37,720,NA,NA,39.2,3.6,30,NA,0.662936632,NA,-1,-0.878592879,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
341,Adults,Higher Language Skills,Higher Language Skills,,,,Palermo et al 2017/2020; De Felice et al 2018,2017,WASI Vocabulary-N cor,NA,NA,WASI Vocabulary - N correct,NA,NA,NA,58.4,8.7,37,720,NA,NA,64.2,7.2,30,NA,0.726334732,NA,-1,-0.796224796,NA,1,-0.764625608,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
504,Adults,IQ,IQ,,,,Smith et al 1996-Low Phe,1996,WAIS-Full scale,NA,NA,WAIS - Full scale,NA,NA,NA,96,7.25,11,566,NA,NA,101,9.25,22,NA,0.601656838,NA,-1,-0.527356625,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
507,Adults,IQ,IQ,,,,Palermo et al 2017/2020; De Felice et al 2018,2018,WAIS-Full scale,NA,NA,WASI - Full scale,NA,NA,NA,103,13.9,38,751,NA,NA,113.9,9.7,39,NA,0.909439227,NA,-1,-1.112436644,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
508,Adults,IQ,IQ,,,,Channon et al 2005,2005,WAIS-Full scale,NA,NA,WASI - Full scale - on diet,NA,NA,NA,107.04,12.01,25,759,NA,NA,107.28,10.35,25,NA,2.14E-02,NA,-1,-2.28E-02,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
509,Adults,IQ,IQ,,,,Weglage et al 2013,2013,WAIS-Full scale,NA,NA,WAIS - Full scale baseline,NA,NA,NA,89.8,20.72,57,810,NA,NA,103.3,16.5,46,NA,0.720798305,NA,-1,-0.812091135,NA,1,NA,NA,NA,NA,NA,NA,3,Within 10 weeks,-,Within 10 weeks
513,Adults,IQ,IQ,,,,Romani et al 2020,2020,WAIS-Full scale,NA,NA,WAIS - Full scale,NA,NA,NA,98.9,15,19,1042,NA,NA,110.1,12,19,NA,0.824555395,NA,-1,-0.913752914,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
514,Adults,IQ,IQ,,,,Pietz et al 1998,1998,WAIS-Full scale,NA,NA,WAIS-R - Full scale,NA,NA,NA,97.6,15.7,57,1085,NA,NA,105.5,16.1,40,NA,0.496816044,NA,-1,-0.486799194,NA,1,NA,NA,NA,NA,NA,NA,4,Within 3 months,-,Within 3 months
515,Adults,IQ,IQ,,,,Ullrich et al 1996,1996,WAIS-Full scale,NA,NA,WAIS - Full scale,NA,NA,NA,82,14,8,1253.1,NA,NA,92.2,8.5,8,NA,0.880735099,NA,-1,-1.134545455,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
516,Adults,IQ,IQ,,,,Channon et al 2007,2007,WAIS-Full scale,NA,NA,WASI - Full scale - off diet,NA,NA,NA,101.48,14.6,25,1286,NA,NA,106.98,8.9,45,NA,0.454895126,NA,-1,-0.611136448,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
517,Adults,IQ,IQ,,,,Ris et al 1994,1994,WAIS-Full scale,NA,NA,WAIS-R - Full scale,NA,NA,NA,90,11,25,1332,NA,NA,100,9,15,NA,0.99503719,NA,-1,-1.089036056,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
518,Adults,IQ,IQ,,,,Smith et al 1996-High Phe,1996,WAIS-Full scale,NA,NA,WAIS - Full scale,NA,NA,NA,95,7.25,11,1545,NA,NA,101,9.25,22,NA,0.721988205,NA,-1,-0.63282795,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
506,Adults,IQ,IQ,,,,Abgottspon et al 2022,2022,WAIS-IV short form,NA,NA,"matrix, symbol search, vocabulary, arthmetic",NA,NA,NA,97,11.9,20,702.3,NA,NA,105.1,13.7,40,NA,0.631254012,NA,-1,-0.583562423,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
510,Adults,IQ,IQ,,,,Channon et al 2004,2004,WASI-Performance Index,NA,NA,WASI - Performance Index,NA,NA,NA,112.3,9.68,20,859,NA,NA,114.65,10.43,20,NA,0.233552202,NA,-1,-0.220835212,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
511,Adults,IQ,IQ,,,,Channon et al 2004,2004,WASI-Verbal Index,NA,NA,WASI - Performance Index,NA,NA,NA,108.55,9.47,20,859,NA,NA,107.2,10.84,20,NA,-0.132638023,NA,-1,0.122064466,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
505,Adults,IQ,IQ,,,,Jahja et al 2016/2017,2017,WISC-III and WAIS III Vocabulary/Block Design,NA,NA,WISC-III and WAIS III Vocabulary and Block Design,NA,NA,NA,100,12,57,655,NA,NA,108,11,57,NA,0.694995588,NA,-1,-0.722391702,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
512,Adults,IQ,IQ,,,,Burgard et al 1997-German,1997,WISC-R & WAIS-R,NA,NA,WISC-R & WAIS-R - German Group,NA,NA,NA,104.5,10.46,8,870,NA,NA,104.5,11.31,15,NA,0,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,4,Within 3 months,5 years,Within 3 months
357,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Pilotto et al 2021,2021,Naming-accuracy,NA,NA,Boston Naming,NA,NA,NA,15,0.8,19,890,NA,NA,15,0.8,25,NA,0,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
358,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Pilotto et al 2021,2021,Baxt ideomotor apraxia,NA,NA,NA,NA,NA,NA,33,4.8,19,890,NA,NA,35,1.57,25,NA,0.560058227,NA,-1,-1.251001182,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
354,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Non-Word Spelling-accuracy,NA,NA,Non - Word Spelling - % Errors,NA,NA,NA,13.3,8.2,37,720,NA,NA,11.9,7.6,30,NA,-0.177087549,NA,1,-0.182076814,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
359,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Pilotto et al 2021,2021,Token test,NA,NA,NA,NA,NA,NA,36,0.01,19,890,NA,NA,36,0.01,25,NA,0,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
347,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2018,Verbal Narrative-% err,NA,NA,Verbal Narrative - %  Error/ total words,NA,NA,NA,2.1,1.4,33,751.2,NA,NA,1.8,1.7,32,NA,-0.19264839,NA,1,-0.174361378,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
356,Adults,Language accuracy,Language accuracy,ES_small,ES_small,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Word Spelling-% err,NA,NA,Word Spelling - % Errors,NA,NA,NA,3.9,4.7,37,720,NA,NA,4.8,5.7,30,NA,0.172282332,NA,1,0.15606584,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
375,Adults,Phonological Tasks,Phonological Tasks,,,,Palermo et al 2017/2020; De Felice et al 2018,2017,Phoneme Deletion-% err,NA,NA,Phoneme Deletion - % Errors,NA,NA,NA,14.5,13.1,37,720,NA,NA,11.2,8.7,30,NA,-0.29676787,NA,1,-0.374916789,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
546,Adults,Social Cognition,Social Cognition,,,,Jahja et al 2016/2017,2016,ANT Facial Recognition-% err,NA,NA,ANT Facial Recognition  - % Errors,NA,NA,NA,7.1,3.5,56,657,NA,NA,5.6,3.4,53,NA,-0.434736955,NA,1,-0.43807687,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
551,Adults,Social Cognition,Social Cognition,,,,Smith et al 1996-Low Phe,1996,Face closure,NA,NA,number correct,NA,NA,NA,24.8,4.47,11,566,NA,NA,27.95,4.47,22,NA,0.704697987,NA,-1,-0.687510231,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
550,Adults,Social Cognition,Social Cognition,,,,Smith et al 1996-High Phe,1996,Face closure,NA,NA,number correct,NA,NA,NA,24.5,4.14,11,1545,NA,NA,27.95,4.47,22,NA,0.800805753,NA,-1,-0.752987396,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
553,Adults,Social Cognition,Social Cognition,,,,Smith et al 1996-Low Phe,1996,Face memory,NA,NA,standard score,NA,NA,NA,10.4,3.59,11,566,NA,NA,11.86,2.75,22,NA,0.456577837,NA,-1,-0.517960089,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
552,Adults,Social Cognition,Social Cognition,,,,Smith et al 1996-High Phe,1996,Face memory,NA,NA,standard score,NA,NA,NA,9.6,2.07,11,1545,NA,NA,11.86,2.75,22,NA,0.928564147,NA,-1,-0.801773836,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
554,Adults,Social Cognition,Social Cognition,,,,Jahja et al 2016/2017,2016,Faux-pas Recogntion Test-Score,NA,NA,Faux - pas Recogntion Test Score - High score indicate better ability,NA,NA,NA,49.2,5.1,56,657,NA,NA,51.3,4.6,53,NA,0.432415601,NA,-1,-0.453314326,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
557,Adults,Social Cognition,Social Cognition,,,,Jahja et al 2016/2017,2016,Reading the mind in the eyes-Score,NA,NA,Reading the mind in the eyes (RME) - high score indicate better ability to recognise emotions . (ToM),NA,NA,NA,24.4,3.9,56,657,NA,NA,26.1,3.6,53,NA,0.452971101,NA,-1,-0.468904502,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
262,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Palermo et al 2017/2020; De Felice et al 2018,2017,Paired associates verbal learning,NA,NA,P-ass-VL delayed recall - % Errors,NA,NA,NA,20.4,23.7,37,720,NA,NA,29.3,24.5,30,NA,0.36924375,NA,1,0.3590576,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
263,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Palermo et al 2017/2020; De Felice et al 2018,2017,Paired associates verbal learning,NA,NA,P-ass-VL - % Errors over 5 trials,NA,NA,NA,43.5,22.9,37,720,NA,NA,47,14.9,30,NA,0.181172138,NA,1,0.232178487,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
264,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Romani et al 2020,2020,Paired associates verbal learning,NA,NA,P-ass-VL delayed recall - % Errors,NA,NA,NA,10.2,11,19,1042,NA,NA,4.9,7,19,NA,-0.574865713,NA,1,-0.741258741,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
265,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Romani et al 2020,2020,Paired associates verbal learning,NA,NA,P-ass-VL - % Errors,NA,NA,NA,20.8,8.8,19,1042,NA,NA,19.7,6.1,19,NA,-0.145284958,NA,1,-0.176544767,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
266,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Pilotto et al 2021,2021,Story recall,NA,NA,NA,NA,NA,NA,13,5.61,19,890,NA,NA,20,3.14,25,NA,1.539825132,NA,-1,-2.189252069,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Smith et al 1996-Low Phe,1996,Story recall-delayed,NA,NA,Unit recalled,NA,NA,NA,10.75,4.06,11,566,NA,NA,12.66,3.69,22,NA,0.492342449,NA,-1,-0.504990416,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
267,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Smith et al 1996-High Phe,1996,Story recall-delayed,NA,NA,Unit recalled,NA,NA,NA,8.85,4.01,11,1545,NA,NA,12.66,3.69,22,NA,0.988756915,NA,-1,-1.007336903,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
270,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Smith et al 1996-Low Phe,1996,Story recall-immediate,NA,NA,Unit recalled,NA,NA,NA,12.35,3.52,11,566,NA,NA,14.02,3.59,22,NA,0.469738135,NA,-1,-0.453835179,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
269,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Smith et al 1996-High Phe,1996,Story recall-immediate,NA,NA,Unit recalled,NA,NA,NA,10.3,4.9,11,1545,NA,NA,14.02,3.59,22,NA,0.866075864,NA,-1,-1.010938243,NA,1,NA,NA,NA,NA,NA,NA,--,--,-,--
276,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Palermo et al 2017/2020; De Felice et al 2018,2017,Word-list learning,NA,NA,Ret AVLT delayed recall - % Errors,NA,NA,NA,16.3,15.9,37,720,NA,NA,15.1,15.1,30,NA,-7.74E-02,NA,1,-7.85E-02,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
277,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Palermo et al 2017/2020; De Felice et al 2018,2017,Word-list learning,NA,NA,Rey AVLT - % Errors over 5 trials,NA,NA,NA,24.1,11.2,37,720,NA,NA,20.5,8.4,30,NA,-0.363654916,NA,1,-0.423607281,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
274,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Channon et al 2004,2004,Word-list learning,NA,NA,Rey AVLT-  Delayed recall - % corr,NA,NA,NA,75.76,19.5,20,858.5,NA,NA,80.67,19.21,20,NA,0.253674101,NA,-1,-0.250517977,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
275,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Channon et al 2004,2004,Word-list learning,NA,NA,Rey AVLT Recognition - % corr,NA,NA,NA,69,14.63,20,858.5,NA,NA,66.5,13.4,20,NA,-0.178208811,NA,-1,0.182860532,NA,1,NA,NA,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month
273,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,ES_medium,ES_medium,Aitkenhead et al 2021,2021,Word-list learning,NA,NA,CVLT-II Trials 1-5 - z score,NA,NA,NA,-0.02,1.22,152,908,NA,NA,0,1,76,NA,--,NA,-1,-1.99E-02,1.22,1,NA,NA,NA,NA,NA,NA,1,NA,-,NA
308,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,Digit span–backwards,NA,NA,z score,NA,NA,NA,-0.47,0.83,153,908,NA,NA,0,1,76,NA,0.33,NA,-1,-0.468445424,0.83,1,NA,NA,NA,NA,NA,NA,1,NA,--,NA
301,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Digit span-forward,NA,NA,Digit span-forward,NA,NA,NA,6.1,1,37,720,NA,NA,6.5,0.9,30,NA,0.420470665,NA,-1,-0.439296439,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth
302,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Pilotto et al 2021,2021,Digit span-forward,NA,NA,Digit span-forward,NA,NA,NA,14,3.2,19,890,NA,NA,19,2.36,25,NA,1.778379982,NA,-1,-2.080584594,NA,1,NA,NA,NA,NA,NA,NA,2,NA,cont treat,NA
299,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,Digit span-forward,NA,NA,z score,NA,NA,NA,-0.33,1,153,908,NA,NA,0,1,76,NA,0.33,NA,-1,-0.32890849,1,1,NA,NA,NA,NA,NA,NA,1,NA,--,NA
303,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,Digit span-forward,NA,NA,Digit span-forward,NA,NA,NA,5.9,0.9,19,1042,NA,NA,5.9,1.1,19,NA,0,NA,-1,0,NA,1,NA,NA,NA,NA,NA,NA,1,Since birth,-,Soon after birth
311,Adults,Verbal STM/WM,Verbal STM/WM,ES_medium,ES_medium,ES_small,Christ et al 2023,2023,List sorting,NA,NA,T-score,Participants are visually and orally presented with a series of picture stimuli and asked to recall the stimuli in size order from smallest to biggest. Participants are exposed to both a one-list condition and a two-list condition where items from one semantic category must be repeated in size order before items from the second semantic category.,NIH Toolbox Cognitive Battery,NA,45,10.3,40,589,444,NA,53,7.8,32,NA,0.88,NA,-1,-1.014612628,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
