order,age_group,func_EF_flex_one,func,ES_group,adult_ES_group,children_ES_group,study,year,task,speed_acc,speed_acc_matched,condition,measure,more_info,PKU_mean,PKU_sd,PKU_N,current_phe_mean,current_phe_sd,control_mean,control_sd,control_N,cohens_d,reverse,input_glass_delta,input_glass_delta_sd,include,pku_age_mean,pku_age_sd,control_age_mean,control_age_sd,diet_start_age1,diet_start_age2,diet_ends,diet_start_age3,CohensD,HedgesG,SMD,GlassDelta,InputDataSMD,ScaledSESqr,Vdf,SmallSampCor,g,Vg,FunctionMean,FunctionSD,Outlier,OutlierLowCut,OutlierHighCut
433,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2017,Conjoined search,speed,speed,Conjoined search - RT,NA,NA,1008,239.7,37,720,NA,841,126.3,30,-0.871686708,1,-1.306932993,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.84630228,-0.836499551,-1.322248614,-1.322248614,-1.306932993,0.13068147,29,0.973913043,-1.287755172,0.15927308,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
434,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Romani et al 2020,2020,Conjoined search-RT,speed,speed,Conjoined search - RT,NA,NA,1152,237,19,1042,NA,938,203,19,-0.9698361,1,-1.032071377,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.9698361,-0.949489889,-1.054187192,-1.054187192,-1.032071377,0.124369868,18,0.957746479,-1.009644071,0.152686011,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
435,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2017,Detection w/distractors-RT,speed,speed,Detection with distractors - RT,NA,NA,438,70.6,37,720,NA,407,72.2,30,-0.434146419,1,-0.424389566,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.43467116,-0.429636359,-0.429362881,-0.429362881,-0.424389566,0.059175759,29,0.973913043,-0.41816211,0.062190579,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
436,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Romani et al 2020,2020,Detection w/distractors-RT,speed,speed,Detection with distractors - RT,NA,NA,483,104,19,1042,NA,430,58,19,-0.629437701,1,-0.894622619,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.629437701,-0.616232714,-0.913793103,-0.913793103,-0.894622619,0.221853683,18,0.957746479,-0.875182127,0.243129898,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
437,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Palermo et al 2017/2020; De Felice et al 2018,2017,Feature search-RT,speed,speed,Feature search - RT,NA,NA,606,167.6,37,720,NA,498,71.7,30,-0.837855906,1,-1.488828937,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.808336286,-0.798973317,-1.506276151,-1.506276151,-1.488828937,0.181008678,29,0.973913043,-1.46698199,0.21811275,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
438,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Romani et al 2020,2020,Feature search-RT,speed,speed,Feature search - RT,NA,NA,752,262,19,1042,NA,586,113,19,-0.822765754,1,-1.43820781,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.822765754,-0.805504934,-1.469026549,-1.469026549,-1.43820781,0.33557011,18,0.957746479,-1.406955004,0.390556843,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
439,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Jahja et al 2016/2017,2017,Memory search-high load-RT,speed,speed,Memory search 2 dimension task - high memory load - RT,NA,NA,2144,570,57,655,NA,1875,418,57,-0.538202402,1,-0.639221605,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.538202402,-0.534590306,-0.64354067,-0.64354067,-0.639221605,0.050166739,56,0.986547085,-0.634883172,0.053765638,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
440,Adults,Visual spatial attention speed,Visual spatial attention speed,NA,NA,NA,Jahja et al 2016/2017,2017,Memory search-low load-RT,speed,speed,Memory search 2 dimension task - low memory load RT,NA,NA,605,146,57,655,NA,549,80,57,-0.475705035,1,-0.695302013,NA,1,NA,NA,NA,NA,1,Since birth,-,Soon after birth,-0.475705035,-0.472512384,-0.7,-0.7,-0.695302013,0.075975877,56,0.986547085,-0.69058296,0.080233956,-0.991020296,0.342832682,0,-1.848102001,-0.13393859
404,Adults,Visual STM/WM,Visual STM/WM,ES_large,ES_large,ES_medium,Jahja et al 2016/2017,2017,Feature integration-RT,speed,speed,Feature integration - RT,NA,NA,1705,457,57,655,NA,1539,318,57,-0.421658785,1,-0.518509138,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.421658785,-0.41882886,-0.522012579,-0.522012579,-0.518509138,0.053776777,56,0.986547085,-0.514989988,0.056144765,-0.482574897,0.772464677,0,-2.413736589,1.448586794
477,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Palermo et al 2017/2020; De Felice et al 2018,2017,Grooved pegboard-Time,speed,NA,Grooved pegboard - Time (sec.),NA,NA,65.1,11.7,37,720,NA,59.2,5.1,30,-0.65374212,1,-1.143462791,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.6310234,-0.623714248,-1.156862745,-1.156862745,-1.143462791,0.175575922,29,0.973913043,-1.126683717,0.197462408,-0.611036845,0.624640649,0,-2.172638468,0.950564777
478,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Romani et al 2020,2020,Grooved pegboard-Time,speed,NA,Grooved pegboard - Time (sec.),NA,NA,76.7,11,19,1042,NA,70.6,9,19,-0.606972686,1,-0.663558664,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.606972686,-0.594238993,-0.677777778,-0.677777778,-0.663558664,0.131254061,18,0.957746479,-0.64913928,0.142959111,-0.611036845,0.624640649,0,-2.172638468,0.950564777
481,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Pietz et al 1998,1998,Long pins/ short pins pegboard-Time,speed,NA,MLS Long pins/ short pins pegboard -  Time (sec.),NA,NA,452,72.24,57,1085,NA,430,77.48,40,-0.293702089,1,-0.281696664,NA,1,NA,NA,NA,NA,4,Within 3 months,-,Within 3 months,-0.295556691,-0.293217192,-0.283944244,-0.283944244,-0.281696664,0.040251108,39,0.980645161,-0.278448549,0.041245128,-0.611036845,0.624640649,0,-2.172638468,0.950564777
493,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Christ et al 2023,2023,Pegboard-Dominant Hand,speed,NA,T-score,higher=better,NIH Toolbox Motor Battery,50,9.2,40,589,444,51,9.6,32,NA,-1,-0.103046595,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.10661836,-0.105471926,-0.104166667,-0.104166667,-0.103046595,0.054210069,31,0.975609756,-0.101626016,0.054376648,-0.611036845,0.624640649,0,-2.172638468,0.950564777
494,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Christ et al 2023,2023,Pegboard-Non-Dominant Hand,speed,NA,T-score,higher=better,NIH Toolbox Motor Battery,47,10.8,40,589,444,54,10.3,32,NA,-1,-0.672303998,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.661532761,-0.654419506,-0.67961165,-0.67961165,-0.672303998,0.058736097,31,0.975609756,-0.663035757,0.065826684,-0.611036845,0.624640649,0,-2.172638468,0.950564777
498,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Weglage et al 2013,2013,TMT-A,speed,NA,TMT (ZVT); only  T1,NA,NA,93.2,63.6,57,810.3,NA,77,19.7,46,-0.344095266,1,-0.816213425,NA,1,NA,NA,NA,NA,3,Within 10 weeks,cont treat,Within 10 weeks,-0.329607418,-0.327153765,-0.822335025,-0.822335025,-0.816213425,0.204594165,45,0.983240223,-0.808552874,0.21185814,-0.611036845,0.624640649,0,-2.172638468,0.950564777
499,Adults,Visuo motor control,Visuo motor control,ES_large,ES_large,ES_medium,Pilotto et al 2021,2021,TMT-A,speed,NA,NA,NA,NA,29,13.62,19,890,NA,20,5.5,25,-0.866518176,1,-1.606967882,NA,1,NA,NA,NA,NA,1,NA,cont treat,NA,-0.914813677,-0.898379898,-1.636363636,-1.636363636,-1.606967882,0.362756677,24,0.968421053,-1.584688995,0.41507416,-0.611036845,0.624640649,0,-2.172638468,0.950564777
415,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Christ et al 2023,2023,Pattern Comparison,speed,NA,processing speed - T-score,NA,NIH Toolbox Cognitive Battery,56,11.7,40,589,444,61,10.9,32,NA,-1,-0.453783171,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.440424982,-0.43568923,-0.458715596,-0.458715596,-0.453783171,0.060054394,31,0.975609756,-0.447527411,0.063284729,-0.603634741,0.719321033,0,-2.401937323,1.194667841
419,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,speed,speed,Shape Matching - Speed per item,Given a target object match it with one of two objects presented below,NA,0.99,0.35,25,758.79,NA,0.83,0.26,25,-0.518971994,1,-0.605718888,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.518971994,-0.510820601,-0.615384615,-0.615384615,-0.605718888,0.112485207,24,0.968421053,-0.595951417,0.119884334,-0.603634741,0.719321033,0,-2.401937323,1.194667841
420,Adults,Visuo-spatial skills,Visuo-spatial skills,ES_small,ES_small,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,speed,speed,Shape matching - Speed per item,A single object displayed and ppts were required to match it to one of two objects,NA,0.87,0.2,25,1285.68,NA,0.82,0.26,45,-0.215565307,1,-0.190178825,NA,1,NA,NA,NA,NA,2,Within 1 month,off diet,Within 1 month,-0.207866836,-0.205565727,-0.192307692,-0.192307692,-0.190178825,0.045890861,44,0.982857143,-0.189010989,0.046296829,-0.603634741,0.719321033,0,-2.401937323,1.194667841
259,Adults,Divided attention,Divided attention,NA,NA,NA,Muri et al 2022,2023,Divided attention (TAP subtests),NA,NA,Test of Attentional Performance (TAP),T-scores,Total omission (higher = better),48,13,30,741,265.1851852,53,13,54,0.38,-1,-0.381086803,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.384615385,-0.381086803,-0.384615385,-0.384615385,-0.381086803,0.051851852,53,0.985781991,-0.379146919,0.053208006,-0.614848693,0.333332645,0,-1.448180304,0.218482919
19,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Digit symbol coding,NA,NA,Digit symbol coding - % Error,NA,NA,37.3,11.3,37,720,NA,27.1,10.2,30,-0.947597789,1,-0.988416988,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.942432846,-0.931516635,-1,-1,-0.988416988,0.066504047,29,0.973913043,-0.973913043,0.08285761,-0.704966472,0.850819706,0,-2.832015736,1.422082792
18,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,Digit symbol coding,NA,NA,Symbol-digit matching test,NA,NA,-0.61,1.29,152,908,NA,0,1,77,NA,-1,-0.607982359,1.29,1,NA,NA,NA,NA,1,NA,NA,NA,-0.508023296,-0.506342954,-0.61,-0.61,-0.607982359,0.023935039,76,0.99009901,-0.603960396,0.02633483,-0.704966472,0.850819706,0,-2.832015736,1.422082792
20,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,Digit symbol coding,NA,NA,Digit symbol coding - % Error,NA,NA,41.6,12,19,1042,NA,39.4,9.1,19,-0.206588708,1,-0.236686391,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.206588708,-0.202254679,-0.241758242,-0.241758242,-0.236686391,0.144153706,18,0.957746479,-0.231543105,0.145642934,-0.704966472,0.850819706,0,-2.832015736,1.422082792
22,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Muri et al 2022,2022,Digit/symbol coding,NA,NA,Subtest of WAIS-IV,Scale scores (total correct),higher=better,10,3,30,741,265.1851852,12,3,54,0.48,-1,-0.660550459,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.666666667,-0.660550459,-0.666666667,-0.666666667,-0.660550459,0.051851852,53,0.985781991,-0.657187994,0.055926343,-0.704966472,0.850819706,0,-2.832015736,1.422082792
23,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Christ et al 2023,2023,Dimensional Change Card Sort,NA,NA,T-score,"DCCS was scored using a new two-vector scoring method combining both accuracy and, for participants who maintained a high level of accuracy (> 80% correct), reaction time (RT) into one score.",NIH Toolbox Cognitive Battery,51,10.5,40,589,444,53,11.3,32,NA,-1,-0.17508802,-0.182155703,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.184135657,-0.182155703,-0.17699115,-0.17699115,-0.17508802,0.05283548,31,0.975609756,-0.172674293,0.05331639,-0.704966472,0.850819706,0,-2.832015736,1.422082792
25,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Channon et al 2007 off diet,2007,Object Alternation-accuracy,NA,NA,Object alternation learning  off diet vs controls - % correct,NA,NA,60.24,17.75,25,1285.68,NA,66.04,16.4,45,0.339412789,-1,-0.349743497,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.343422917,-0.339621188,-0.353658537,-0.353658537,-0.349743497,0.069078632,44,0.982857143,-0.347595819,0.070451619,-0.704966472,0.850819706,0,-2.832015736,1.422082792
73,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Phonemic fluency,NA,NA,Letter fluency - N correct,NA,NA,35.9,11.4,37,720,NA,41.8,12.9,30,0.484674186,-1,-0.452066685,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.487916151,-0.482264613,-0.457364341,-0.457364341,-0.452066685,0.054440433,29,0.973913043,-0.445433097,0.057861306,-0.487934846,0.563967184,0,-1.897852806,0.921983114
71,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Channon et al 2004,2004,Phonemic fluency,NA,NA,Letter fluency - N correct,NA,NA,8.01,1.64,20,858.5,NA,9.76,2.53,20,0.820841227,-1,-0.677957228,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.820841227,-0.804533123,-0.691699605,-0.691699605,-0.677957228,0.071009546,19,0.96,-0.664031621,0.082613177,-0.487934846,0.563967184,0,-1.897852806,0.921983114
74,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Pilotto et al 2021,2021,Phonemic fluency,NA,NA,Phonemic fluency - N correct,NA,NA,16,8,19,890,NA,21,2.36,25,0.847764544,-1,-2.080584594,NA,1,NA,NA,NA,NA,2,NA,cont treat,Within 1 month,-0.903711538,-0.887477199,-2.118644068,-2.118644068,-2.080584594,0.644786888,24,0.968421053,-2.051739518,0.732487618,-0.487934846,0.563967184,1,-1.897852806,0.921983114
70,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,Phonemic fluency,NA,NA,Letter fluency 'S' - N correct,NA,NA,-0.44,0.97,150,908,NA,0,1,76,NA,-1,-0.43852514,0.97,1,NA,NA,NA,NA,1,NA,-,NA,-0.448912301,-0.447407567,-0.44,-0.44,-0.43852514,0.019430561,75,0.989966555,-0.435585284,0.020695458,-0.487934846,0.563967184,0,-1.897852806,0.921983114
75,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,Phonemic fluency,NA,NA,Letter fluency - N correct,NA,NA,39,11,19,1042,NA,47.5,9.3,19,0.834517288,-1,-0.894804121,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.834517288,-0.817009933,-0.913978495,-0.913978495,-0.894804121,0.126263456,18,0.957746479,-0.875359685,0.147548305,-0.487934846,0.563967184,0,-1.897852806,0.921983114
89,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Pilotto et al 2021,2021,Semantic fluency,NA,NA,N correct,NA,NA,25,9.61,19,890,NA,34,4.72,25,1.188796216,-1,-1.872526134,NA,1,NA,NA,NA,NA,2,NA,cont treat,Within 1 month,-1.244371938,-1.222017951,-1.906779661,-1.906779661,-1.872526134,0.258177106,24,0.968421053,-1.846565566,0.329214698,-0.487934846,0.563967184,0,-1.897852806,0.921983114
87,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,Semantic fluency,NA,NA,z score,NA,NA,0.07,1,150,908,NA,0,1,76,NA,-1,0.069765363,0.99,1,NA,NA,NA,NA,1,NA,-,NA,0.07,0.069765363,0.07,0.07,0.069765363,0.019824561,75,0.989966555,0.069297659,0.019856576,-0.487934846,0.563967184,0,-1.897852806,0.921983114
100,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,Semantic fluency,NA,NA,N correct,NA,NA,21.4,6.2,37,720,NA,25,5,30,0.639198742,-1,-0.711660232,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.632029521,-0.624708716,-0.72,-0.72,-0.711660232,0.07489009,29,0.973913043,-0.701217391,0.083367777,-0.487934846,0.563967184,0,-1.897852806,0.921983114
101,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,Semantic fluency,NA,NA,N correct,NA,NA,20.1,4.8,19,1042,NA,23.5,3.6,19,0.801387685,-1,-0.924630925,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.801387685,-0.784575356,-0.944444444,-0.944444444,-0.924630925,0.14619883,18,0.957746479,-0.904538341,0.16892632,-0.487934846,0.563967184,0,-1.897852806,0.921983114
31,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Sundermann et al 2020,2020,TMT–B,NA,NA,Trail making B -Time (sec.),NA,NA,60.4,43.5,16,926.2,NA,53.25,7.375,17,-0.229180756,1,-0.945845391,NA,1,NA,NA,NA,NA,4,within 3 months,--,Within 3 months,-0.232752449,-0.22707556,-0.969491525,-0.969491525,-0.945845391,2.233198709,16,0.952380952,-0.923325262,2.259840257,-0.704966472,0.850819706,0,-2.832015736,1.422082792
44,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-Low Phe,1996,WCST,NA,NA,N categories - correct,NA,NA,6,1.33,11,566,NA,5.59,1.33,22,-0.308270677,-1,0.30075188,NA,1,NA,NA,NA,NA,--,--,--,--,0.308270677,0.30075188,0.308270677,0.308270677,0.30075188,0.136363636,21,0.963855422,0.297128363,0.138465666,-0.704966472,0.850819706,0,-2.832015736,1.422082792
45,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-Low Phe,1996,WCST,NA,NA,N perseverative responses,NA,NA,7.6,4.29,11,566,NA,9.68,8.23,22,0.316944677,1,0.246569659,NA,1,NA,NA,NA,NA,--,--,--,--,0.288943562,0.281896158,0.2527339,0.2527339,0.246569659,0.070155983,21,0.963855422,0.24359894,0.071568851,-0.704966472,0.850819706,0,-2.832015736,1.422082792
37,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,WCST,NA,NA,N categories - correct,NA,NA,3.9,1.2,37,720,NA,4.4,0.9,30,0.471404521,-1,-0.549120549,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.464453991,-0.459074215,-0.555555556,-0.555555556,-0.549120549,0.081381381,29,0.973913043,-0.541062802,0.086428777,-0.704966472,0.850819706,0,-2.832015736,1.422082792
38,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Palermo et al 2017/2020; De Felice et al 2018,2017,WCST,NA,NA,N perseverative responses,NA,NA,8.1,5.1,37,720,NA,6.8,4.4,30,-0.272944257,1,-0.292032292,NA,1,NA,NA,NA,NA,3,Since birth,cont treat,Soon after birth,-0.270815251,-0.267678394,-0.295454545,-0.295454545,-0.292032292,0.069643921,29,0.973913043,-0.287747036,0.071071479,-0.704966472,0.850819706,0,-2.832015736,1.422082792
34,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Aitkenhead et al 2021,2021,WCST,NA,NA,z-score,NA,DKefs Card Sorting,-0.26,1,152,908,NA,0,1,76,NA,-1,-0.259136213,1,1,NA,NA,NA,NA,NA,NA,-,NA,-0.26,-0.259136213,-0.26,-0.26,-0.259136213,0.019736842,75,0.989966555,-0.257391304,0.020178511,-0.704966472,0.850819706,0,-2.832015736,1.422082792
40,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,WCST,NA,NA,N categories - correct,NA,NA,4,1.1,19,1042,NA,4.1,1,19,0.095130299,-1,-0.097902098,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.095130299,-0.093134558,-0.1,-0.1,-0.097902098,0.116315789,18,0.957746479,-0.095774648,0.116570589,-0.704966472,0.850819706,0,-2.832015736,1.422082792
41,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Romani et al 2020,2020,WCST,NA,NA,N perseverative responses,NA,NA,7,3.1,19,1042,NA,7.8,3.3,19,0.249878019,1,0.237338419,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.249878019,0.244635823,0.242424242,0.242424242,0.237338419,0.099076893,18,0.957746479,0.232180965,0.100574338,-0.704966472,0.850819706,0,-2.832015736,1.422082792
39,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Ris et al 1994,2017,WCST,NA,NA,N perseverative responses,NA,NA,21,32,25,1332,NA,12,9,15,-0.382892067,1,-0.98013245,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.346005713,-0.339131427,-1,-1,-0.98013245,0.572345679,14,0.945454545,-0.945454545,0.604270118,-0.704966472,0.850819706,0,-2.832015736,1.422082792
42,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-High Phe,1996,WCST,NA,NA,N categories - correct,NA,NA,4.4,1.71,11,1545,NA,5.59,1.33,22,0.776849127,-1,-0.872913992,NA,1,NA,NA,NA,NA,1,--,--,--,-0.813173735,-0.793340229,-0.894736842,-0.894736842,-0.872913992,0.195732839,21,0.963855422,-0.862396956,0.21344066,-0.704966472,0.850819706,0,-2.832015736,1.422082792
43,Adults,EF-Flexibility,EF-Flexibility-other,ES_medium,ES_medium,ES_small,Smith et al 1996-High Phe,1996,WCST,NA,NA,N perseverative responses,NA,NA,23,10.1,11,1545,NA,9.68,8.23,22,-1.445850581,1,-1.578994162,NA,1,NA,NA,NA,NA,1,--,--,--,-1.50061262,-1.464012312,-1.618469016,-1.618469016,-1.578994162,0.182369344,21,0.963855422,-1.559970136,0.240309983,-0.704966472,0.850819706,0,-2.832015736,1.422082792
176,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Christ et al 2023,2023,Flanker,NA,NA,T-score,"Scores for the NIH Toolbox Flanker were created using a procedure analogous to the one used for scoring the NIH Toolbox DCCS. That is, a two-vector method incorporated accuracy and, for participants who maintained a high level of accuracy (> 80% correct)",NIH Toolbox Cognitive Battery,40,7.7,40,589,444,43,9.6,32,NA,-1,-0.309139785,NA,1,11.18,3.4,10.3,3.1,NA,NA,NA,NA,-0.349104676,-0.345350863,-0.3125,-0.3125,-0.309139785,0.047333442,31,0.975609756,-0.304878049,0.048832645,-0.514355554,0.502573004,0,-1.770788066,0.742076957
191,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_small,ES_small,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Stroop DIFFERENCE-accuracy,NA,NA,Stroop Task; Differene incongruous-congruous - % Errors,NA,NA,0.5,1.1,37,720,NA,0.8,1,30,0.285390896,1,0.296525097,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,0.283941777,0.280652876,0.3,0.3,0.296525097,0.066036036,29,0.973913043,0.292173913,0.067507857,-0.514355554,0.502573004,0,-1.770788066,0.742076957
102,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Channon et al 2004,2004,Brixton scaled-Score,NA,NA,Brixton text scaled score (rule finding) higher scores indicate fewer Errors,Participants are presented with patterns of circles where one is filled.  The filled circle move around from one pattern presentation to the next according to rules (9 in total).  Partipants have to anticipate the position of the next filled circle.,NA,6.95,1.67,20,858.5,NA,7.15,1.14,20,0.139882373,-1,-0.171953061,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.139882373,-0.137103253,-0.175438596,-0.175438596,-0.171953061,0.1572984,19,0.96,-0.168421053,0.158044864,-0.910729111,1.01160159,0,-3.439733086,1.618274863
109,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Channon et al 2004,2004,Six elements-Rules per minute,NA,NA,Six elements rules per minute,NA,NA,0.54,0.11,20,858.5,NA,0.57,0.07,20,0.325395687,-1,-0.420056764,NA,1,NA,NA,NA,NA,2,Within 1 month,cont treat,Within 1 month,-0.325395687,-0.318930872,-0.428571429,-0.428571429,-0.420056764,0.173469388,19,0.96,-0.411428571,0.177923953,-0.910729111,1.01160159,0,-3.439733086,1.618274863
111,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Palermo et al 2017/2020; De Felice et al 2018,2017,Tower Puzzle,NA,NA,% of NOT solved trials,NA,NA,20.6,28.2,37,720,NA,2.9,7.9,30,-0.854738405,1,-2.214554518,NA,1,NA,NA,NA,NA,1,Since birth,cont treat,Soon after birth,-0.81793371,-0.808459574,-2.240506329,-2.240506329,-2.214554518,0.377716813,29,0.973913043,-2.182058338,0.459809547,-0.910729111,1.01160159,0,-3.439733086,1.618274863
112,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,ES_large,ES_large,Pilotto et al 2021,2021,Tower Puzzle,NA,NA,Performance score,NA,NA,16,3.2,19,890,NA,18,1.57,25,0.793522724,-1,-1.251001182,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.830663514,-0.815741415,-1.27388535,-1.27388535,-1.251001182,0.258648776,24,0.968421053,-1.233657392,0.290355246,-0.910729111,1.01160159,0,-3.439733086,1.618274863
141,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,ES_large,ES_medium,Weglage et al 2013,2013,D2 Test,NA,NA,D2 Test - N correct - mistakes,NA,NA,99.1,14.9,57,810.3,NA,103.6,13.6,46,0.315461463,-1,-0.328419209,NA,1,NA,NA,NA,NA,3,Within 10 weeks,-,Within 10 weeks,-0.313909082,-0.31157229,-0.330882353,-0.330882353,-0.328419209,0.042797263,45,0.983240223,-0.325336839,0.043973309,-0.920352373,0.876086568,0,-3.110568793,1.269864047
