,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
105,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Luna at al 2023,2023,Semantic fluency ,,,Semantic fluency - N correct,ANIMALS,from Controlled Oral Word Association Test (COWAT),,23.1,6.14,20,586,420,,26.3,3.74,20,NA,0.29,,-1,-0.83,,0,,NA,,,,,,,,,
106,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Palermo et al 2017/2018,2017,Semantic fluency ,,, N correct,,,,21.4,6.2,37,720,,,25,5,30,,0.64,,-1,-0.71,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
107,Adults,EF-Flexibility,EF-Flexibility-verbal,ES_large,Romani et al 2020,2020,Semantic fluency ,,, N correct,,,,20.1,4.8,19,1042,,,23.5,3.6,19,,0.8,,-1,-0.92,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
109,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2004,2004,Brixton scaled-Score,,,Brixton text scaled score (rule finding) higher scores indicate fewer Errors,Participants are presented with patterns of circles where one is filled.  The filled circle move around from one pattern presentation to the next according to rules (9 in total).  Partipants have to anticipate the position of the next filled circle.,,,7,1.67,20,859,,,7.2,1.14,20,,0.14,,-1,-0.17,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
110,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Nardecchia et al 2015,2015,Elithorn's-N solved trials,,,Elithorns Maze Test  - N of solved puzzles,,,,86.9,23.1,14,-,,,108.3,4.36,14,,1.29,,-1,-4.77,,1,,,,,,,3,Witihn 2 months,cont treat,Witihn 2 months,
111,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luna at al 2023,2023,Matrix reasoning subtest ,,,Score,,WAIS-IV Spanish version,,17.4,5.82,20,586,420,,18.4,4.5,20,NA,,,-1,-0.21,,0,,NA,,,,,,,,,
112,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,accuracy,accuracy, Function matching -  % correct,Given a target object match it with one of two objects presented below,,,97.4,3.85,25,759,,,98.8,2.18,25,,0.45,,-1,-0.63,,0,,questionable as a reasoning task,,,,,2,Within 1 month,cont treat,Within 1 month,
113,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2005 on diet,2005,Perceptual judgement Task,speed,speed, Function matching - Speed per item,Given a target object match it with one of two objects presented below,,,1.1,0.34,25,759,,,1,0.33,25,,-0.33,,1,-0.33,,0,,questionable as a reasoning task,,,,,2,Within 1 month,cont treat,Within 1 month,
114,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,speed,speed,Function matching - Speed per item ,A single object displayed and ppts were required to match it to one of two objects,,,1,0.24,25,1286,,,1,32,45,,0,,1,0,,0,,questionable as a reasoning task,,,,,2,Within 1 month,off diet,Within 1 month,
115,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2007 off diet,2007,Perceptual judgement Task,accuracy,accuracy,Function matching;  -  % correct,A single object displayed and ppts were required to match it to one of two objects,,,97,5.95,25,1286,,,98,2.61,45,,0.22,,-1,-0.38,,0,,questionable as a reasoning task,,,,,2,Within 1 month,off diet,Within 1 month,
116,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Channon et al 2004,2004,Six elements-Rules per minute,,,Six elements rules per minute,,,,0.5,0.11,20,859,,,0.6,0.07,20,,0.33,,-1,-0.42,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
117,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Nardecchia et al 2015,2015,Tower Puzzle,,, Performance score,,,,98.1,13.04,14,-,,,100.9,8.8,14,,0.24,,-1,-0.3,,1,,,,,,,3,Witihn 2 months,cont treat,Witihn 2 months,
118,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Palermo et al 2017/2018,2017,Tower Puzzle,,,% of NOT solved trials ,,,,20.6,28.2,37,720,,,2.9,7.9,30,,-0.85,,1,-2.21,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
119,Adults,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Pilotto et al 2021,2021,Tower Puzzle,,, Performance score,,,,16,3.2,19,890,,,18,1.57,25,,0.79,,-1,-1.25,,1,,,,,,,,,,,
120,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Griffiths 1995,1995,Matching figures,,,N correct/20,Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.,,,4.9,1.52,10,348,,,4.8,1.55,10,,,,-1,0.06,,1,,7.53,-,,7.59,-,,median age 15 days (range 12-20),,,
121,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Trimarco et al 2020,2020,Animal sorting,,,,A card-sorting task assessing concept formation,,From NespyII,10,3.5,15,289,83,,10,1.75,14,,,,-1,0,,1,,,,,,,,,,,
122,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Trimarco et al 2020,2020,Clocks,,,,"Recognizing time on analog clocks and costructing clock faces
time
on
analog
clocks,
and
constructing
clock
faces",,From NespyII,5,1.25,15,289,83,,6,1.25,14,,,,-1,-0.75,,1,,,,,,,,,,,
123,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2005,Connecting dots,,,,Connect black dots arranged on a grid following rules,,,54.2,5.1,14,491,149,,56.4,2.72,14,,,,-1,-0.77,,1,,,,,,,10.8,1.25,,10.9,
124,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2006,Elithorn’s Maze,,,,Object categorization task,,,9.6,3.33,14,491,149,,15.2,2.37,14,,,,-1,-2.3,,1,,10.8,1.25,,10.9,1.3,,,,,
125,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,accuracy,accuracy,Number correct,,,,9.9,1.68,36,,,,10.4,1.2,69,,,,-1,-0.39,,1,,11.18,3.4,,10.29,3.1,,,,,
126,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,speed,speed,Time,,,,328.5,119.88,36,,,,289.4,61.2,69,,,,1,-0.63,,1,,11.18,3.4,,10.29,3.1,,,,,
127,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Anderson et al 2002/2007,2002,Tower Puzzle,,,Extra attempls,,,,7.8,3.96,36,,,,7.9,2.82,69,,,,1,0,,0,,,,,,,,,,,
128,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Bisiacchi et al 2018,2018,Tower Puzzle,,,Score; max score =12,,,,10.3,1.8,11,743,84,,11.3,1,28,,,,-1,-0.98,,1,,13,2.5,,11.8,2.5,,,,,
129,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2004,Tower Puzzle,,,,,,,23.2,5.22,14,491,149,,29.1,2.92,14,,,,-1,-1.95,,1,,10.8,1.25,,10.9,1.3,,,,,
130,Children,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Leuzzi et al 2004,2007,Weigl’s Sorting,,,,"The subject is shown one of two gestures,  is required to respond each time with the opposite gesture of the one shown.",,,10.1,2.28,14,491,149,,11.1,1.25,14,,,,-1,-0.72,,1,,10.8,1.25,,10.9,1.3,,,,,
131,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Combined Description Score,,,,,From D-KEFS,,7.5,2.2,15,660,337,,10,3,20,,,,-1,-0.8,,1,,14.8,3,,,,,,,,
132,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Confirmed correct sort,482,,,,,,8.1,2.09,15,660,337,,10,3,20,,,,-1,-0.63,,1,,14.8,3,,,,,,,,
133,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Free Sorting Description,,,,,From D-KEFS,,7.7,2.34,15,660,337,,10,3,20,,,,-1,-0.74,,1,,14.8,3,,,,,,,,
134,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Sort Recognition Description,,,,,From D-KEFS,,7.6,1.72,15,660,337,,10,3,20,,,,-1,-0.78,,1,,14.8,3,,,,,,,,
135,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Van Zutphen et al 2007,2007,Tower Puzzle,,,Total achievement,,From D-KEFS,,8.8,2.93,15,660,337,,10,3,20,,,,-1,-0.39,,1,,14.8,3,,,,,,,,
136,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,,Minimum move solutions,,,7.8,1.8,18,NA,,,8.7,1.6,16,,,,-1,-0.55,0.14,0,,17.88,,,16.3,,,,,,
137,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,3-move problems,N of move to complete,,,3.2,0.4,18,NA,,,3,0.1,16,,,,1,-1.95,1.08,0,,17.88,,,16.3,,,,,,
138,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,4-move problems,N of move to complete,,,5.7,1.2,18,NA,,,5.4,0.9,16,,,,1,-0.33,0.16,0,,17.88,,,16.3,,,,,,
139,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,5-move problems,N of move to complete,,,7.3,1.9,18,NA,,,6.8,1.36,16,,,,1,-0.36,0.18,0,,17.88,,,16.3,,,,,,
140,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,"Average of 3,4,5 move problems-accuracy",,,,5.4,1.32,18,,,,5.1,0.943,16,,,,1,-0.34,0.39,1,,,,,,,,,,,
141,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,3-move problems,Planning time,,,5911.9,4383,18,NA,,,6455.2,5079.9,16,,,,1,0.1,0.1,0,,17.88,,,16.3,,,,,,
142,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,4-move problems,Planning time,,,9535.7,6772.7,18,NA,,,8784.1,6901.1,16,,,,1,-0.11,0.12,0,,17.88,,,16.3,,,,,,
143,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,5-move problems,Planning time,,,8895,5755.9,18,NA,,,12552.7,13248.5,16,,,,1,0.27,0.08,0,,17.88,,,16.3,,,,,,
144,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Luciana et al 2001,2001,Tower Puzzle,,,"Average of 3,4,5 move problems-time",,,,8114.2,5721.61,18,,,,9264,9109.58,16,,,,1,0.12,0.1,1,,,,,,,,,,,
145,Mixed-age,EF-Reasoning and planning,EF-Reasoning and planning,ES_large,Griffiths 1995,1995,Matching figures,,,N correct/21,Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.,,,7.2,1.4,10,1014,216,,8.8,1.23,10,,,,-1,-1.25,,1,,20.6,3.8,13.6-28.42,,,,,,,
147,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Anderson et al 2002/2007,2008,Digital Distraction,,,Number correct,"Children must count the number of beeps presented on audio tape while random numbers are intermittenly presented,",,,3.6,1.723,33,,,,4.6,1.749,34,,,,-1,-0.59,,1,,11.18,3.4,,10.3,3.1,,,,,
148,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Pilotto et al 2021,2021, D2 Test,,,??,,,,144,65.68,19,890,,,258,27.51,25,,2.26,,-1,-4.07,,1,,,,,,,2,,cont treat,,
149,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Weglage et al 2013,2013, D2 Test,,,D2 Test - N correct - mistakes,,,,99.1,14.9,57,810,,,103.6,13.6,46,,0.32,,-1,-0.33,,1,,,,,,,3,Within 10 weeks ,-,Within 10 weeks ,
150,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Weglage et al 1995,1995, D2 Test,,,accuracy,,,,35.5,26.6,20,583,377,,58.5,34.9,20,,,,-1,-0.65,,1,,10.9,1.3,,11,1.1,,,,,
151,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Trimarco et al 2020,2020,Auditory Attention,,,Pointing to stimuli according to consistent and inconsistent examiner cues;,,,From NespyII,5,1.25,15,289,83,,5,0.75,14,,,,-1,0,,1,,,,,,,,,,,
152,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Duarte et al 2023,2023,Auditory attention (selective attention),,,raw scores,,The developmental neuropsychological battery (NEPSY-II); subtests of the Attention and executive functions domains,Duarte not included because group includes PKU patients with lower Phe around 900 rather than > 1200,29.3,1.79,27,,,,30,0.6,28,,,,-1,-1.13,,0,,11.1,2.98,,9.82,2.13,,,,,
153,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Anderson et al 2002/2007,2008,Code Transmission,,,Number correct,,,,35.2,4.596,33,,,,35.9,4.665,34,,,,-1,-0.15,,1,,11.18,3.4,,10.3,3.1,,,,,
154,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,CPT - Omissions,,click when see/hear '2' do not click when you see/hear '1',,56,11,26,489,181,,53,8,21,,,,-1,0.37,,0,,12.3,3.7,,11.8,3.6,,,,,
155,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,CPT - Commissions,,click when see/hear '2' do not click when you see/hear '1',,51,10,26,489,181,,43,9,21,,,,1,-0.87,,0,,12.3,3.7,,11.8,3.6,,,,,
156,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,CPT - Variability,,click when see/hear '2' do not click when you see/hear '1',,56,11,26,489,181,,50,11,21,,,,1,-0.54,,0,,12.3,3.7,,11.8,3.6,,,,,
157,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,Hit - SE,RT,click when see/hear '2' do not click when you see/hear '1',,60,11,26,489,181,,54,12,21,,,,1,-0.49,,0,,12.3,3.7,,11.8,3.6,,,,,
158,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,Hit - Block Change,RT,click when see/hear '2' do not click when you see/hear '1',,53,10,26,489,181,,54,12,21,,,,1,0.08,,0,,12.3,3.7,,11.8,3.6,,,,,
159,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,Hit - Block Change,SE,click when see/hear '2' do not click when you see/hear '1',,53,11,26,489,181,,49,9,21,,,,1,-0.44,,0,,12.3,3.7,,11.8,3.6,,,,,
160,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Gassio et al 2005,2005,Conner's Continuous Performance Test,,,CPT - Error average ,,click when see/hear '2' do not click when you see/hear '1',,53.5,10.5,26,489,181,,48,8.5,21,,,,1,-0.64,,1,,12.3,3.7,,11.8,3.6,,,,,
161,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,,,Misses,,,,14.6,13.84,22,1529,,,7.2,12.97,12,NA,,,1,-0.56,,1,,16.4,5.6,,13.4,3.9,BY  6 WEEKS,,Coninuous - for all but 4 ppts who terminated diet by age 6,,
162,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,accuracy,accuracy,False alarms,,,,9.1,11.08,22,1529,,,7.7,7.11,12,NA,,,1,-0.2,,1,,16.4,5.6,,13.4,3.9,BY  6 WEEKS,,Coninuous - for all but 4 ppts who terminated diet by age 7,,
163,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Brunner and Berry 1987,1987,Continuous perfomance task,speed,speed,RT,,,,415.2,107.71,22,1529,,,354.3,55.72,12,NA,,,1,-1.07,,1,,16.4,5.6,,13.4,3.9,BY  6 WEEKS,,Coninuous - for all but 4 ppts who terminated diet by age 8,,
164,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Burgard et al 1997-German,1997,Dot pattern Task,,,german vs controls - level  Time,,,,8.7,1.3,8,870,,,7.5,0.8,8,,-1.11,,1,-1.42,,1,,,,,,,4,Within  3 months,5 years,Within  3 months,
165,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2016/2017,2017,Dot pattern Task,,, N Errors,,,,24.6,14.7,57,655,,,17.3,10.3,57,,-0.58,,1,-0.7,,1,,,,,,,1,Since birth,-,Soon after birth,
166,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2016/2017,2017,Dot pattern Task,,, Mean series time (sec.),,,,9.3,1.8,57,655,,,8.7,1.5,57,,-0.36,,1,-0.4,,1,,,,,,,1,Since birth,-,Soon after birth,
167,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Schmidt et al 1994,1994,Dot pattern Task,accuracy,accuracy, Exercise T1 - N Errors,,,,51.9,8.7,19,1417,,,39.9,6.6,20,,-1.55,,1,-1.78,,1,,,,,,,--,Early treated,-,Early treated,
168,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Schmidt et al 1994,1994,Dot pattern Task,speed,speed, Exercise T1 - RT,,,,1010,1318,19,1417,,,729,691,20,,-0.27,,1,-0.4,,1,,,,,,,--,Early treated,-,Early treated,Soon after birth
169,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Ullrich et al 1996,1996,Dot pattern Task,,,Sonnevitle Visual Attention Task - Dot Pattern Exercise t1 - RT in sec,,,,12.3,4.53,8,1253,,,8.7,1.18,8,,-1.09,,1,-2.88,,1,,,,,,,--,--,-,--,Soon after birth
170,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Janos et al 2012,2012,Go-No-go,,,SD-RT,,,,183,77,42,546,331,,145,57,81,,,,1,-0.66,,1,,11.8,3.5,,12.3,3.2,,,,,Soon after birth
171,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Huijbregts et al 2002,2002,Number of dot identification task (yes/no),,,Mean Series time,,dot task from ANT respond to arrays of eg 3 dots do not respond for arrays of 2 or 4 dots,,12.9,2.11,30,494,291,,11.2,1.59,32,,,,1,-1.08,,1,,12.7,1.1,,13,1.2,,,,,
172,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Palermo et al 2017/2018,2017,Rapid Visual Processing-% err,,,Rapid visual Information Processing -RVP -  % Errors,,,,18.9,11.3,37,720,,,13.3,8.8,30,,-0.55,,1,-0.63,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
173,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Romani et al 2020,2020,Rapid Visual Processing-% err,,,Rapid visual Information Processing -RVP -  % Errors,,,,24.2,12,19,1042,,,15.9,9.6,19,,-0.76,,1,-0.85,,1,,,,,,,1,Since birth,-,Soon after birth,
174,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Muri et al 2022,2023,Sustained attention (TAP subtests),,,Test of Attentional Performance (TAP),T-scores,SD in reaction time (higher = better),"In this test, a sequence of stimuli is presented on the monitor. The stimuli vary in a range of feature dimensions: color, shape, size and filling. A target stimulus occurs whenever it corresponds in one or the other of two predetermined stimulus dimensions with the preceding stimulus (e.g. the same shape but with different color, size and filling). In order to adapt the difficulty of the task to the performance level of a subject, different levels of difficulty, that is, reactions to ""shape"" only or to ""color or shape"", may be selected.",46,9,30,741,IQR=358,,52,9,54,NA,0.67,,-1,-0.66,,1,,NA,,,,,,,,,
175,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Muri et al 2022,2023,Sustained attention (TAP subtests),,,Test of Attentional Performance (TAP),Residuals (USE?),(lower = better),*Residuals are the error terms after regressing out the confounding variable AGE,28.5,48.8,30,741,IQR=358,,-9.4,50.4,54,NA,-0.76,,1,-0.75,,0,,NA,,,,,,,,,
176,Children,EF-Sustained attention,EF-Sustained attention,ES_large,Jahja et al 2014,2014,Sustained attention-dots,,,SAD - inhibitory control - high Phe group,,,,8.7,8.4,21,590,248,,4.4,4.9,73,,,,1,-0.87,,1,,10.6,2.5,,10.9,2.2,,,,,
177,Adults,EF-Sustained attention,EF-Sustained attention,ES_large,Channon et al 2004,2004,Telephone Search-N tones/min,,,Telephone Search - N of tones counted per minute,,,,18.5,4.88,20,859,,,22.8,5.49,20,,0.83,,-1,-0.77,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
178,Mixed-age,EF-Sustained attention,EF-Sustained attention,ES_large,Van Zutphen et al 2007,2007,Visual Scanning ,,,part of the TMT of D-KEFS identify all numbers '3' in a matrix,,From D-KEFS,,8.3,3.89,15,660,337,,10,3,20,,,,-1,-0.56,,1,,14.8,3,,,,,,,,
181,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2004,2004,Hayling Sentence Completion B-accuracy,,,Hayling Sentence Completion Test B  - Correct completions per sec.,,,,0.57,0.32,20,859,,,0.75,0.53,20,,0.41,,-1,-0.33,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
182,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,accuracy,accuracy,"on diet, Incompatible condition",,,,97.7,3.41,25,759,,,97.1,2.86,25,,-0.17,,1,-0.19,,1,,,,,,,,,,,
183,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2005,2005,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),,,,0.5,0.05,25,759,,,0.4,0.05,25,,,,1,-0.59,,1,,,,,,,,,,,
184,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Incompatible trials - Number correct,,,,97.1,2.28,25,1286,,,97.2,2.82,45,,,,-1,-0.06,,1,,,,,,,,,,,
185,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Channon et al 2007 off diet,2007,Flanker task-INTERFERENCE,speed,speed,Incompatible trials - Speed per item (sec.),,,,0.5,0.08,25,1287,,,0.5,0.06,45,,,,1,-0.99,,1,,,,,,,,,,,
186,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2023,2023,Flanker ,,,T-score,"Scores for the NIH Toolbox Flanker were created using a procedure analogous to the one used for scoring the NIH Toolbox DCCS. That is, a two-vector method incorporated accuracy and, for participants who maintained a high level of accuracy (> 80% correct)",NIH Toolbox Cognitive Battery,,40,7.7,40,589,444,,43,9.6,32,NA,,,-1,-0.31,,1,,11.18,3.4,,10.3,3.1,,,,,
187,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Block Cyclic Naming,speed,,Block Cyclic Naming Semantic Interference -  4th cycle-1st cycle - RT,,,,85.9,16.7,15,751,,,75.7,19.2,24,,-0.57,,1,-0.52,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
188,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Hayling Sentence Completion B-accuracy,accuracy,accuracy,Hayling Sentence Completion Test - Part 2  - N Errors,,,,2.4,1.8,22,751,,,1.2,2.6,25,25,,,1,-0.45,0.21,1,1,,,,,,,1,Since birth,cont treat,
189,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,De Felice et al 2018,2018,Hayling Sentence Completion A-Time ,speed,speed,Hayling Sentence Completion Test Part 2 - Time (sec.) ,,,,24.9,21.9,22,751,,,16,7.8,25,25,,,1,-1.12,1.26,1,,,,,,,,1,Since birth,cont treat,
189,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,De Felice et al 2018,2018,Hayling Sentence Completion B-Time ,speed,speed,Hayling Sentence Completion Test Part 2 - Time (sec.) ,,,,48,37.1,22,751,,,29.6,17,25,25,,-0.64,1,-1.06,1.13,1,1,,,,,,,1,Since birth,cont treat,
190,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Luna at al 2023,2023,Stroop CW-INTERFERENCE,,,Interference,,"""Note: raw scores or t-score?",lower score = greater difficulty?,5,10.8,20,586,420,,11.3,8.8,20,NA,0.3,,-1,-0.7,,0,,11.2,3.1,,11.3,3.4,,,,,
191,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Luna at al 2023,2023,Stroop CW-INTERFERENCE,,,Accuracy ,,"""Note: raw scores or t-score?","40 or less considered low, above 40 normal? ",43.1,11.11,20,586,420,,52,11.89,20,NA,0.36,,-1,-0.73,,0,,11.2,3.1,,11.3,3.4,,,,,
192,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Moyle et al 2007,2007,Go-No-Go,accuracy,accuracy,false alarms,,,,33.3,16.296,9,-,,,19.2,10.37,9,,-1.03,,1,-1.29,,1,,,,,,,1,,cont treat,Soon after birth,
193,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Moyle et al 2007,2007,Go-No-Go,speed,speed,RT (only no go),,,,316,35.556,9,1000,,,284,15.556,9,,-1.17,,1,-1.96,,1,,,,,,,--,,cont treat,Early treated,
194,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),speed,,Scale scores (time),,Time (higher = better),Delis‚Äì Kaplan Executive Function System (D-KEFS),10,2.5,30,741,IQR=358,,11,3.8,54,54,0.19,,-1,-0.26,,1,,10.75,12.1,,13.1,3.2,,,,,
195,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 3 (inhibition?),,,Residuals (USE?),,(lower = better),Delis‚Äì Kaplan Executive Function System (D-KEFS),0.1,13.7,30,741,IQR=358,,-0.7,11.5,54,54,-0.15,,1,-0.07,,0,,10.75,7.1,,13.1,3.2,,,,,
196,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),,,Residuals (USE?),,(lower = better),Delis‚Äì Kaplan Executive Function System (D-KEFS),6.4,10.2,30,741,IQR=358,,-2.3,11.8,54,54,-0.45,,1,-0.73,,0,,NA,,,,"Last is the inhibition/switching trial, in which the patient is presented with a page containing the words ‚Äúred,‚Äù ‚Äúgreen,‚Äù and ‚Äúblue‚Äù written in red, green, or blue ink. Half of these words are enclosed within boxes. The patient is asked to say the color of the ink in which each word is printed (as in the third trial), but to read the word aloud (and not name the ink color) when a word appears inside a box, as quickly as he/she can without making mistakes.",,,,,
197,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Muri et al 2022,2022,Colour-word interference test condition 4 (inhibition/switching),speed,,Scale scores (interference),,Time (higher=btter),Delis‚Äì Kaplan Executive Function System (D-KEFS),10,2,30,741,IQR=358,,12,3,54,54,0.44,,-1,-0.66,,1,,NA,,,,,,,,,
