"Order","Age..group","Func_EF_flex_one","Function","ES_group","Study","Year","Task","speed.acc....all.speed.tasks.even.if.no.matched.with.accuracy.","speed.acc.matched","Condition.measure","More.information","X","X.1","x.","SD","N..obs","Current.Phe.Mean","SD.1","X.2","x..1","SD.2","N..obs.1","X.3","Cohen..s.D...not.revr","X.4","Coeff","Glass.delta","SD.glass","Include","X.5","x..2","SD.3","X.6","x..3","SD.4","Age.diet.starts","Age.diet.starts.1","Diet.termination","Age.diet.starts.2","X.7"
245,"Adults","EF-Inhibitory control-baseline; Language speed","EF-Inhibitory control-baseline; Language speed","ES_small","Palermo et al 2017/2020; De Felice et al 2018",2017,"Stroop-baseline-speed","speed","speed","Congruent condition RT","Naming the colour of words spelling the same colour","","",710.9,"135.1300",37,"720.0000",NA,"",599.2,"91.8200",30,"","0.97",NA,1,"-1.20","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
248,"Children","EF-Inhibitory control-baseline; Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","Antshel & Waisbren 2003",2003,"Stroop-baseline-speed","speed","","Reading T-score","","","",44,"9.9000",46,"490.3448",375.3257,"",52.3,"9.5000",18,"","",NA,-1,"-0.86","",1,"","10.75","2.1","",13.1,"3.2","","","","",""
365,"Children","Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","Weglage et al 1996/1999",1996,"Stroop-baseline-speed","speed","","CWIT Colour naming speed ","","Stroop Color and Word Test","",83.5,"16.7000",20,"583.0000",377,"",62.1,"12.1000",20,"","",NA,1,"-1.73","",1,"","10.9","1.3","",11,"1.1","","","","",""
366,"Children","Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","Weglage et al 1996/1999",1999,"Stroop-neutral-speed","speed","","CWIT Colour naming Speed (older group 14+)","","Stroop Color and Word Test","",67.4,"11.2000",20,"744.0000",456,"",56.6,"8.2000",20,"","",NA,1,"-1.29","",1,"","13.9","1.3","",14,"1.1","","","","",""
370,"Children","Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","Weglage et al 1996/1999",1996,"Stroop-reading-speed","speed","","CWIT Colour reading speed ","","Stroop Color and Word Test","",48.2,"11.1000",20,"583.0000",377,"",38.4,"7.1000",20,"","",NA,1,"-1.35","",1,"","10.9","1.3","",11,"1.1","","","","",""
371,"Children","Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","Weglage et al 1996/1999",1999,"Stroop-reading-speed","speed","","CWIT Colour reading Speed (older group 14+)","sec","Stroop Color and Word Test","",41.1,"10.3000",20,"744.0000",456,"",34,"4.3000",20,"","",NA,1,"-1.62","",1,"","13.9","1.3","",14,"1.1","","","","",""
255,"Children","EF-Inhibitory control-baseline; Language speed","EF-Inhibitory control-baseline; Language speed","ES_large","White et al 2001",2001,"Stroop-baseline-speed","speed","","Colour naming items/min","","Stroop Color and Word Test","",64.71,"19.8100",23,"496.4000",230,"",80.95,"22.6200",23,"","",NA,-1,"-0.71","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
102,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Channon et al 2004",2004,"Brixton scaled-Score","","","Brixton text scaled score (rule finding) higher scores indicate fewer Errors","Participants are presented with patterns of circles where one is filled.  The filled circle move around from one pattern presentation to the next according to rules (9 in total).  Partipants have to anticipate the position of the next filled circle.","","",6.95,"1.6700",20,"858.5000",NA,"",7.15,"1.1400",20,"","0.14",NA,-1,"-0.17","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
109,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Channon et al 2004",2004,"Six elements-Rules per minute","","","Six elements rules per minute","","","",0.54,"0.1100",20,"858.5000",NA,"",0.57,"0.0700",20,"","0.33",NA,-1,"-0.42","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
103,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Nardecchia et al 2015",2015,"Elithorn's-N solved trials","","","Elithorns Maze Test  - N of solved puzzles","","","",86.86,"23.1000",14,"-",NA,"",108.29,"4.3600",14,"","1.29",NA,-1,"-4.77","",1,"","","","",NA,"","3","Witihn 2 months","cont treat","Witihn 2 months",""
110,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Nardecchia et al 2015",2015,"Tower Puzzle","",""," Performance score","","","",98.14,"13.0400",14,"-",NA,"",100.86,"8.8000",14,"","0.24",NA,-1,"-0.30","",1,"","","","",NA,"","3","Witihn 2 months","cont treat","Witihn 2 months",""
111,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Palermo et al 2017/2020; De Felice et al 2018",2017,"Tower Puzzle","","","% of NOT solved trials ","","","",20.6,"28.2000",37,"720.0000",NA,"",2.9,"7.9000",30,"","-0.85",NA,1,"-2.21","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
112,"Adults","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Pilotto et al 2021",2021,"Tower Puzzle","",""," Performance score","","","",16,"3.2000",19,"890.0000",NA,"",18,"1.5700",25,"","0.79",NA,-1,"-1.25","",1,"","","","",NA,"","","","","",""
118,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Anderson et al 2002/2007",2002,"Tower Puzzle","accuracy","accuracy","Number correct","","","",9.94,"1.6800",36,"",NA,"",10.41,"1.2000",69,"","",NA,-1,"-0.39","",1,"","11.18","3.4","",10.29,"3.1","","","","",""
119,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Anderson et al 2002/2007",2002,"Tower Puzzle","speed","speed","Time","","","",328.51,"119.8800",36,"",NA,"",289.4,"61.2000",69,"","",NA,1,"-0.63","",1,"","11.18","3.4","",10.29,"3.1","","","","",""
121,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Bisiacchi et al 2018",2018,"Tower Puzzle","","","Score; max score =12","","","",10.3,"1.8000",11,"743.1800",83.66,"",11.3,"1.0000",28,"","",NA,-1,"-0.98","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
113,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Griffiths 1995",1995,"Matching figures","","","N correct/20","Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.","","",4.9,"1.5200",10,"348.0000",NA,"",4.8,"1.5500",10,"","",NA,-1,"0.06","",1,"","7.53","-","",7.59,"-","","median age 15 days (range 12-20)","","",""
116,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Leuzzi et al 2004",2005,"Connecting dots","","","","Connect black dots arranged on a grid following rules","","",54.21,"5.1000",14,"491.0000",149.2,"",56.38,"2.7200",14,"","",NA,-1,"-0.77","",1,"","","","",NA,"","10.8","1.25","","10.9",""
117,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Leuzzi et al 2004",2006,"Elithorn’s Maze","","","","Object categorization task","","",9.57,"3.3300",14,"491.0000",149.2,"",15.19,"2.3700",14,"","",NA,-1,"-2.30","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
122,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Leuzzi et al 2004",2004,"Tower Puzzle","","","","","","",23.21,"5.2200",14,"491.0000",149.2,"",29.07,"2.9200",14,"","",NA,-1,"-1.95","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
123,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Leuzzi et al 2004",2007,"Weigl’s Sorting","","","","The subject is shown one of two gestures,  is required to respond each time with the opposite gesture of the one shown.","","",10.14,"2.2800",14,"491.0000",149.2,"",11.07,"1.2500",14,"","",NA,-1,"-0.72","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
114,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Trimarco et al 2020",2020,"Animal sorting","","","","A card-sorting task assessing concept formation","","From NespyII",10,"3.5000",15,"289.0000",82.8,"",10,"1.7500",14,"","",NA,-1,"0.00","",1,"","","","",NA,"","","","","",""
115,"Children","EF-Reasoning and planning","EF-Reasoning and planning","ES_large","Trimarco et al 2020",2020,"Clocks","","","","Recognizing time on analog clocks and costructing clock faces
time
on
analog
clocks,
and
constructing
clock
faces","","From NespyII",5,"1.2500",15,"289.0000",82.8,"",6,"1.2500",14,"","",NA,-1,"-0.78","",1,"","","","",NA,"","","","","",""
138,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Griffiths 1995",1995,"Matching figures","","","N correct/21","Visual matching-to-sample of complex drawings. First items from MFFT20 (Caims & Cammock 1978). - Identify from a group of 6 similar figures the one tht matches a given sample. It measures One-minute time-limit per figure. It is supposed to test speed of reflection and impulsivity.","","",7.2,"1.4000",10,"1014.0000",216,"",8.8,"1.2300",10,"","",NA,-1,"-1.25","",1,"","20.6","3.8","13.6-28.42",NA,"","","","","",""
133,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Luciana et al 2001",2001,"Tower Puzzle","","","Average of 3,4,5 move problems-accuracy","","","",5.4,"1.3200",18,"",NA,"",5.07,"0.9430",16,"","",NA,1,"-0.34","#DIV/0!",1,"","","","",NA,"","","","","",""
137,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Luciana et al 2001",2001,"Tower Puzzle","","","Average of 3,4,5 move problems-time","","","",8114.2,"5721.6100",18,"",NA,"",9264,"9109.5800",16,"","",NA,1,"0.12","#DIV/0!",1,"","","","",NA,"","","","","",""
124,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Van Zutphen et al 2007",2007,"Combined Description Score","","","","","From D-KEFS","",7.53,"2.2000",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.80","",1,"","14.8","3","",NA,"","","","","",""
125,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Van Zutphen et al 2007",2007,"Confirmed correct sort","","","","","","",8.07,"2.0900",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.63","",1,"","14.8","3","",NA,"","","","","",""
126,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Van Zutphen et al 2007",2007,"Free Sorting Description","","","","","From D-KEFS","",7.73,"2.3400",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.74","",1,"","14.8","3","",NA,"","","","","",""
127,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Van Zutphen et al 2007",2007,"Sort Recognition Description","","","","","From D-KEFS","",7.6,"1.7200",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.78","",1,"","14.8","3","",NA,"","","","","",""
128,"Mixed-age","EF-Reasoning and planning","EF-Reasoning and planning","","Van Zutphen et al 2007",2007,"Tower Puzzle","","","Total achievement","","From D-KEFS","",8.8,"2.9300",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.39","",1,"","14.8","3","",NA,"","","","","",""
156,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Burgard et al 1997-German",1997,"Dot pattern Task","","","german vs controls - level  Time","","","",8.7,"1.3000",8,"870.0000",NA,"",7.5,"0.8000",8,"","-1.11",NA,1,"-1.42","",1,"","","","",NA,"","4","Within  3 months","5 years","Within  3 months",""
169,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Channon et al 2004",2004,"Telephone Search-N tones/min","","","Telephone Search - N of tones counted per minute","","","",18.46,"4.8800",20,"858.5000",NA,"",22.78,"5.4900",20,"","0.83",NA,-1,"-0.77","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
157,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Jahja et al 2016/2017",2017,"Dot pattern Task","",""," N Errors","","","",24.6,"14.7000",57,"655.0000",NA,"",17.3,"10.3000",57,"","-0.58",NA,1,"-0.70","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
158,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Jahja et al 2016/2017",2017,"Dot pattern Task","",""," Mean series time (sec.)","","","",9.3,"1.8000",57,"655.0000",NA,"",8.7,"1.5000",57,"","-0.36",NA,1,"-0.40","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
166,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Muri et al 2022",2023,"Sustained attention (TAP subtests)","","","Test of Attentional Performance (TAP)","T-scores","SD in reaction time (higher = better)","In this test, a sequence of stimuli is presented on the monitor. The stimuli vary in a range of feature dimensions: color, shape, size and filling. A target stimulus occurs whenever it corresponds in one or the other of two predetermined stimulus dimensions with the preceding stimulus (e.g. the same shape but with different color, size and filling). In order to adapt the difficulty of the task to the performance level of a subject, different levels of difficulty, that is, reactions to ""shape"" only or to ""color or shape"", may be selected.",46,"9.0000",30,"741.0000",265.1852,"IQR=358",52,"9.0000",54,NA,"0.67",NA,-1,"-0.66","",1,"",NA,"","",NA,"","","","","",""
164,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Palermo et al 2017/2020; De Felice et al 2018",2017,"Rapid Visual Processing-% err","","","Rapid visual Information Processing -RVP -  % Errors","","","",18.9,"11.3000",37,"720.0000",NA,"",13.3,"8.8000",30,"","-0.55",NA,1,"-0.63","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
140,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Pilotto et al 2021",2021," D2 Test","","","??","","","",144,"65.6800",19,"890.0000",NA,"",258,"27.5100",25,"","2.26",NA,-1,"-4.07","",1,"","","","",NA,"","2","","cont treat","",""
165,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Romani et al 2020",2020,"Rapid Visual Processing-% err","","","Rapid visual Information Processing -RVP -  % Errors","","","",24.2,"12.0000",19,"1042.0000",NA,"",15.9,"9.6000",19,"","-0.76",NA,1,"-0.85","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
159,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Schmidt et al 1994",1994,"Dot pattern Task","accuracy","accuracy"," Exercise T1 - N Errors","","","",51.9,"8.7000",19,"1417.0000",NA,"",39.9,"6.6000",20,"","-1.55",NA,1,"-1.78","",1,"","","","",NA,"","--","Early treated","-","Early treated",""
160,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Schmidt et al 1994",1994,"Dot pattern Task","speed","speed"," Exercise T1 - RT","","","",1010,"1318.0000",19,"1417.0000",NA,"",729,"691.0000",20,"","-0.27",NA,1,"-0.40","",1,"","","","",NA,"","--","Early treated","-","Early treated",""
161,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Ullrich et al 1996",1996,"Dot pattern Task","","","Sonnevitle Visual Attention Task - Dot Pattern Exercise t1 - RT in sec","","","",12.3,"4.5300",8,"1253.1000",NA,"",8.7,"1.1800",8,"","-1.09",NA,1,"-2.88","",1,"","","","",NA,"","--","--","-","--",""
141,"Adults","EF-Sustained attention","EF-Sustained attention","ES_large","Weglage et al 2013",2013," D2 Test","","","D2 Test - N correct - mistakes","","","",99.1,"14.9000",57,"810.3000",NA,"",103.6,"13.6000",46,"","0.32",NA,-1,"-0.33","",1,"","","","",NA,"","3","Within 10 weeks ","-","Within 10 weeks ",""
145,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Anderson et al 2002/2007",2008,"Code Transmission","","","Number correct","","","",35.21,"4.5957",33,"",NA,"",35.94,"4.6648",34,"","",NA,-1,"-0.15","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
139,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Anderson et al 2002/2007",2008,"Digital Distraction","","","Number correct","Children must count the number of beeps presented on audio tape while random numbers are intermittenly presented,","","",3.56,"1.7234",33,"",NA,"",4.61,"1.7493",34,"","",NA,-1,"-0.59","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
152,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Gassio et al 2005",2005,"Conner's Continuous Performance Test","","","CPT - Error average ","","click when see/hear '2' do not click when you see/hear '1'","",53.5,"10.5000",26,"489.0000",181,"",48,"8.5000",21,"","",NA,1,"-0.64","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
163,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Huijbregts et al 2002",2002,"Number of dot identification task (yes/no)","","","Mean Series time","","dot task from ANT respond to arrays of eg 3 dots do not respond for arrays of 2 or 4 dots","",12.9,"2.1100",30,"494.0000",291,"",11.16,"1.5900",32,"","",NA,1,"-1.08","",1,"","12.7","1.1","",13,"1.2","","","","",""
168,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Jahja et al 2014",2014,"Sustained attention-dots","","","SAD - inhibitory control - high Phe group","","","",8.7,"8.4000",21,"590.0000",248,"",4.4,"4.9000",73,"","",NA,1,"-0.87","",1,"","10.6","2.5","",10.9,"2.2","","","","",""
162,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Janos et al 2012",2012,"Go-No-go","","","SD-RT","","","",183,"77.0000",42,"546.0000",331,"",145,"57.0000",81,"","",NA,1,"-0.66","",1,"","11.8","3.5","",12.3,"3.2","","","","",""
143,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Trimarco et al 2020",2020,"Auditory Attention","","","Pointing to stimuli according to consistent and inconsistent examiner cues;","","","From NespyII",5,"1.2500",15,"289.0000",82.8,"",5,"0.7500",14,"","",NA,-1,"0.00","",1,"","","","",NA,"","","","","",""
142,"Children","EF-Sustained attention","EF-Sustained attention","ES_medium","Weglage et al 1995",1995," D2 Test","","","accuracy","","","",35.5,"26.6000",20,"583.0000",377,"",58.5,"34.9000",20,"","",NA,-1,"-0.65","",1,"","10.9","1.3","",11,"1.1","","","","",""
155,"Mixed-age","EF-Sustained attention","EF-Sustained attention","","Brunner and Berry 1987",1987,"Continuous perfomance task","speed","speed","RT","","","",415.18,"107.7100",22,"1529.3200",NA,"",354.31,"55.7200",12,NA,"",NA,1,"-1.07","",1,"","16.4","5.6","",13.4,"3.9","BY  6 WEEKS","","Coninuous - for all but 4 ppts who terminated diet by age 8","",""
153,"Mixed-age","EF-Sustained attention","EF-Sustained attention","","Brunner and Berry 1987",1987,"Continuous perfomance task","","","Misses","","","",14.6,"13.8400",22,"1529.3200",NA,"",7.16,"12.9700",12,NA,"",NA,1,"-0.56","",1,"","16.4","5.6","",13.4,"3.9","BY  6 WEEKS","","Coninuous - for all but 4 ppts who terminated diet by age 6","",""
170,"Mixed-age","EF-Sustained attention","EF-Sustained attention","","Van Zutphen et al 2007",2007,"Visual Scanning ","","","part of the TMT of D-KEFS identify all numbers '3' in a matrix","","From D-KEFS","",8.27,"3.8900",15,"660.0000",337,"",10,"3.0000",20,"","",NA,-1,"-0.56","",1,"","14.8","3","",NA,"","","","","",""
327,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Appreciation of Humour","accuracy","accuracy","Appreciation of Humour Test -  N Errors","","","",2,"1.3000",22,"751.2000",NA,"",2.2,"1.6000",25,"","0.14",NA,1,"0.12","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
328,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Appreciation of Humour","speed","speed","Appreciation of Humour Test - Time (sec.)","","","",91.6,"44.0000",22,"751.2000",NA,"",76.9,"23.0000",25,"","-0.42",NA,1,"-0.63","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
329,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Conflicting Prosody","","","Conflicting Prosody - N Errors","","","",1.1,"1.2000",22,"751.2000",NA,"",1.4,"1.9000",25,"","0.19",NA,1,"0.16","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
330,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Conflicting Prosody","","","Emotional Prosody - N Errors","","","",0.6,"1.1000",22,"751.2000",NA,"",0.3,"0.5000",25,"","-0.35",NA,1,"-0.59","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
331,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Inferred meaning-N err","accuracy","accuracy","Comprehension of Inferred meaning Test -  N Errors","","","",1.3,"1.2000",22,"751.2000",NA,"",1.2,"1.2000",25,"","-0.08",NA,1,"-0.08","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
332,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Inferred meaning-Time ","speed","speed","Comprehension of Inferred meaning Test - Time (sec.)","","","",157.9,"54.6000",22,"751.2000",NA,"",119.2,"40.0000",25,"","-0.81",NA,1,"-0.95","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
333,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Metaphor Picture-N err","accuracy","accuracy","Metaphor Picture Test - N Errors","","","",1.1,"1.7000",22,"751.2000",NA,"",2.3,"3.1000",25,"","0.48",NA,1,"0.38","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
334,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Metaphor Picture-Time","speed","speed","Metaphor Picture Test - Total time (sec.)","","","",58.9,"34.3000",22,"751.2000",NA,"",41,"13.0000",25,"","-0.69",NA,1,"-1.35","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
335,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Non Emotional Prosody-N err","","","Non Emotional Prosody - N Errors","","","",0.2,"0.5000",22,"751.2000",NA,"",0.4,"0.8000",25,"","0.30",NA,1,"0.25","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
336,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Verbal Narrative-% cor info units ","","","Verbal Narrative - Correct information units (% of total words)","","","",87.7,"7.8000",33,"751.2000",NA,"",91.7,"4.6000",32,"","0.62",NA,-1,"-0.86","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
337,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Verbal Narrative-Main concepts-% cor","","","Verbal Narrative - Main concepts - %  correct answers ","","","",81.1,"21.2000",33,"751.2000",NA,"",86.7,"10.9000",32,"","0.33",NA,-1,"-0.51","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
338,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Verbal Narrative-Mean utterance length","","","Verbal Narrative - Mean utterance length","","","",13.2,"2.5000",33,"751.2000",NA,"",14.2,"3.0000",32,"","0.36",NA,-1,"-0.33","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
339,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2018,"Verbal Narrative-Speech rate","","","Verbal Narrative - Speech Rate","","","",2.2,"0.4000",33,"751.2000",NA,"",2.4,"0.4000",32,"","0.50",NA,-1,"-0.49","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
340,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2017,"WASI Similarities-N cor","","","WASI Similarities - N correct","","","",36,"5.8000",37,"720.0000",NA,"",39.2,"3.6000",30,"","0.66",NA,-1,"-0.88","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
341,"Adults","Higher Language Skills","Higher Language Skills","","Palermo et al 2017/2020; De Felice et al 2018",2017,"WASI Vocabulary-N cor","","","WASI Vocabulary - N correct","","","",58.4,"8.7000",37,"720.0000",NA,"",64.2,"7.2000",30,"","0.73",NA,-1,"-0.80","",1,"-0.486","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
506,"Adults","IQ","IQ","","Abgottspon et al 2022",2022,"WAIS-IV short form ","","","matrix, symbol search, vocabulary, arthmetic","","","",97,"11.9000",20,"702.3000",NA,"",105.1,"13.7000",40,"","0.63",NA,-1,"-0.58","",1,"","","","",NA,"","1","","","",""
512,"Adults","IQ","IQ","","Burgard et al 1997-German",1997,"WISC-R & WAIS-R","","","WISC-R & WAIS-R - German Group","","","",104.5,"10.4600",8,"870.0000",NA,"",104.5,"11.3100",15,"","0.00",NA,-1,"0.00","",1,"","","","",NA,"","4","Within 3 months","5 years","Within 3 months",""
510,"Adults","IQ","IQ","","Channon et al 2004",2004,"WASI-Performance Index","","","WASI - Performance Index","","","",112.3,"9.6800",20,"859.0000",NA,"",114.65,"10.4300",20,"","0.23",NA,-1,"-0.22","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
511,"Adults","IQ","IQ","","Channon et al 2004",2004,"WASI-Verbal Index","","","WASI - Performance Index","","","",108.55,"9.4700",20,"859.0000",NA,"",107.2,"10.8400",20,"","-0.13",NA,-1,"0.12","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
508,"Adults","IQ","IQ","","Channon et al 2005",2005,"WAIS-Full scale","","","WASI - Full scale - on diet","","","",107.04,"12.0100",25,"759.0000",NA,"",107.28,"10.3500",25,"","0.02",NA,-1,"-0.02","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
516,"Adults","IQ","IQ","","Channon et al 2007",2007,"WAIS-Full scale","","","WASI - Full scale - off diet","","","",101.48,"14.6000",25,"1286.0000",NA,"",106.98,"8.9000",45,"","0.45",NA,-1,"-0.61","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
505,"Adults","IQ","IQ","","Jahja et al 2016/2017",2017,"WISC-III and WAIS III Vocabulary/Block Design","","","WISC-III and WAIS III Vocabulary and Block Design","","","",100,"12.0000",57,"655.0000",NA,"",108,"11.0000",57,"","0.69",NA,-1,"-0.72","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
520,"Adults","IQ","IQ","","Moyle et al 2007",2007,"WAIS III-Perceptual Organisation Index ","","","WAIS III - Perceptual Organisation Index ","","","",101,"19.7000",12,"-",NA,"",115,"14.2000",12,"","0.82",NA,-1,"-0.95","",1,"","","","",NA,"","1","Since birth","off diet","Soon after birth",""
521,"Adults","IQ","IQ","","Moyle et al 2007",2007,"WAIS III-Processing Speed Index ","","","WAIS III - Processing Speed Index ","","","",92,"12.5000",12,"-",NA,"",106,"12.5000",12,"","1.12",NA,-1,"-1.08","",1,"","","","",NA,"","1","Since birth","off diet","Soon after birth",""
522,"Adults","IQ","IQ","","Moyle et al 2007",2007,"WAIS III-Working Memory Index ","","","WAIS III - Working Memory Index ","","","",103,"19.7000",12,"-",NA,"",101,"12.5000",12,"","-0.12",NA,-1,"0.15","",1,"","","","",NA,"","1","Since birth","off diet","Soon after birth",""
519,"Adults","IQ","IQ","","Nardecchia et al 2015",2015,"WAIS-Full scale","","","WAIS-R - Full scale","","","",97.64,"10.7500",14,"-",NA,"",114.07,"8.9100",14,"","1.66",NA,-1,"-1.79","",1,"","","","",NA,"","3","Witihn 2 months","cont treat","Witihn 2 months",""
507,"Adults","IQ","IQ","","Palermo et al 2017/2020; De Felice et al 2018",2018,"WAIS-Full scale","","","WASI - Full scale","","","",103,"13.9000",38,"751.0000",NA,"",113.9,"9.7000",39,"","0.91",NA,-1,"-1.11","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
